doc_id,archivo,num_palabras,num_oraciones,diversidad_lexica,topico_principal,top_tfidf_features,flesch_reading_ease
S1130-01082008000200010-1,S1130-01082008000200010-1.txt,568,24,0.6161971830985915,4,"ui, proteína, vena, estudio, sin signos",12.998241369937489
S0716-10182012000300018-1,S0716-10182012000300018-1.txt,299,10,0.5585284280936454,4,"kg día, mg kg, ml, kg, ácido",33.60021237458196
S1130-01082010000700007-1,S1130-01082010000700007-1.txt,219,11,0.7077625570776256,0,"biopsias, rango, existencia, niveles, normal",19.459912427022516
S0365-66912007000200008-1,S0365-66912007000200008-1.txt,147,6,0.6530612244897959,3,"10, ojo, av, visual, cambios",37.51443877551023
S0716-10182013000100014-2,S0716-10182013000100014-2.txt,364,19,0.6620879120879121,1,"lumbar, dl, mg dl, luego, colección",32.35979853479856
caso_clinico_radiologia654,caso_clinico_radiologia654.txt,166,9,0.6867469879518072,2,"posibilidad, contraste, posterior, lesiones, hallazgos",21.971720214190128
S0325-00752010000100019-1,S0325-00752010000100019-1.txt,260,17,0.5923076923076923,3,"lesión, resección, anterior, actividad, segunda",26.99223981900454
S0210-48062009001000016-1,S0210-48062009001000016-1.txt,309,17,0.6343042071197411,0,"quiste, masa, hepático, iv, gran",17.54316390633926
S0034-98872018000800857-1,S0034-98872018000800857-1.txt,152,8,0.7302631578947368,1,"ojos, día, cerebral, compromiso, pulmonar",23.915789473684242
S1130-01082005001000011-1,S1130-01082005001000011-1.txt,208,14,0.6875,0,"ca, vn, marcadores tumorales, abdominal, tumorales",30.88148717948718
S0325-00752009000500014-1,S0325-00752009000500014-1.txt,369,15,0.5907859078590786,1,"dosis, factor, mes, prueba, niña",24.81721951219515
caso_clinico_radiologia568,caso_clinico_radiologia568.txt,45,4,0.8666666666666667,2,"zonas, derrame pleural, comienza, derrame, pleural",50.610000000000014
S0365-66912006000400010-1,S0365-66912006000400010-1.txt,225,11,0.68,3,"ojo, agudeza visual, agudeza, visual, oi",20.257636363636408
cc_onco1105,cc_onco1105.txt,212,11,0.6320754716981132,0,"hepáticas, metástasis, respuesta, realiza, parcial",16.718805821371603
S0365-66912012000400004-1,S0365-66912012000400004-1.txt,273,11,0.6043956043956044,3,"lesión, células, ojo, gran, tamaño",23.600589410589436
S0034-98872005001200010-1,S0034-98872005001200010-1.txt,448,22,0.6294642857142857,1,"mmhg, inferior, oxígeno, demostró, mmol",20.954404761904783
caso_clinico_radiologia406,caso_clinico_radiologia406.txt,85,5,0.8235294117647058,2,"procede, parietal, tc abdominal, con resultado, 65",29.337647058823563
S0210-56912006000100005-1,S0210-56912006000100005-1.txt,500,23,0.636,4,"día, mmhg, progresiva, buena, pulmonar",30.702890999390092
caso_clinico_radiologia972,caso_clinico_radiologia972.txt,284,14,0.5669014084507042,0,"basal, hallazgos, área, solo, pequeñas",35.645625000000024
S0211-69952014000600007-3,S0211-69952014000600007-3.txt,103,5,0.6699029126213593,3,"catéter, punto, ningún, línea, pequeña",39.72405825242723
S0325-00752010000300015-1,S0325-00752010000300015-1.txt,143,8,0.7342657342657343,0,"quiste, reveló, con diagnóstico, quística, niña",30.140826048951055
S0365-66912005001000009-1,S0365-66912005001000009-1.txt,101,8,0.7128712871287128,3,"ambos ojos, ojos, ambos, nasal, anastomosis",25.658248762376246
S1134-80462009000800005-1,S1134-80462009000800005-1.txt,564,23,0.49645390070921985,4,"sesiones, control, crisis, intensidad, dolor",33.28250000000003
caso_clinico_radiologia273,caso_clinico_radiologia273.txt,91,7,0.7252747252747253,2,"ecografía, tc, intestino delgado, hipocondrio, rx",36.525714285714315
S0034-98872011001100012-1,S0034-98872011001100012-1.txt,393,20,0.628498727735369,1,"dl, mg, mg dl, mostró, ambos",26.946738549618345
S0034-98872012000200012-1,S0034-98872012000200012-1.txt,401,20,0.6683291770573566,1,"linfocitos, bilateral, extremidades inferiores, parietal, conciencia",13.227086261618695
S0034-98872016001000018-1,S0034-98872016001000018-1.txt,493,31,0.6551724137931034,4,"mg dl, dl, mg, unidad, embarazo",34.63909782331979
caso_clinico_radiologia160,caso_clinico_radiologia160.txt,123,7,0.7317073170731707,3,"fractura, cráneo, simple, cervical, tc",25.990243902439033
S0365-66912005001100009-2,S0365-66912005001100009-2.txt,120,5,0.7333333333333333,3,"mmhg, cirugía, 12, horas, después",29.8292605042017
caso_clinico_radiologia851,caso_clinico_radiologia851.txt,203,18,0.7339901477832512,2,"biliar, pélvica, ingesta, imagen, dolor",23.483395522388093
S0365-66912012001100004-2,S0365-66912012001100004-2.txt,120,5,0.6916666666666667,3,"temporal, aspecto, tamaño, presenta, oi",18.210000000000036
S0211-69952013000500032-1,S0211-69952013000500032-1.txt,235,7,0.7446808510638298,4,"mmol, mg, dl, mg dl, 24 horas",19.400000000000034
S0210-48062009000300013-4,S0210-48062009000300013-4.txt,120,13,0.7416666666666667,2,"hematoma, días después, riñón, después, derecho",54.98000000000002
S0370-41062018005000502-1,S0370-41062018005000502-1.txt,112,3,0.7767857142857143,1,"24, suspendió, elevada, 10 mg, unidad cuidados",14.093452380952385
S1137-66272011000300021-1,S1137-66272011000300021-1.txt,549,21,0.5701275045537341,3,"parietal, cerebral, conciencia, lesión, parénquima",12.024590163934448
S0716-10182010000700005-8,S0716-10182010000700005-8.txt,178,13,0.6966292134831461,1,"bilateral, lcr, ambos ojos, ojos, disminución",38.469722719141345
S0004-06142006000900015-1,S0004-06142006000900015-1.txt,319,11,0.6018808777429467,0,"masa, hipocondrio, hígado, derecho, tac",15.360501567398131
S1135-76062010000200003-2,S1135-76062010000200003-2.txt,397,12,0.5642317380352645,3,"intravenosa, cada, campo, vía, solución",27.70932094878259
S0212-71992005001200008-1,S0212-71992005001200008-1.txt,301,19,0.5614617940199336,3,"ingesta, distensión, todas, durante, biliar",20.436000000000007
cc_onco1291,cc_onco1291.txt,404,25,0.5866336633663366,0,"nódulos, nódulo, mama, asintomática, mostraba",27.78089230769234
S0716-10182006000300006-1,S0716-10182006000300006-1.txt,902,35,0.5909090909090909,1,"mm3, normal, luego, cerebral, rm",19.675273548158657
S0211-69952010000500016-1,S0211-69952010000500016-1.txt,595,31,0.6067226890756302,4,"ingreso, mg, dl, renal, hemodiálisis",25.163822256175195
